objectid,route_name_ruta_troncal,nombre_ruta_troncal,servicio_unico_ruta_troncal,origen_ruta_troncal,destino_ruta_troncal,desc_tipo_ruta_troncal,tipo_operacion,desc_tipo_bus_ruta_troncal,horario_lunes_viernes,horario_sabado,horario_domingo_festivo,estado_ruta_troncal,longitud_comercial,longitud_ruta_troncal,log_replica,created_user,created_date,last_edited_user,last_edited_date,tipo_ruta_troncal,tipo_bus_ruta_troncal,globalid,shape_Length
13,B27,B27,BH27,PORTAL TUNAL,PORTAL NORTE,TRONCAL,Normal,BIARTICULADO,5:00-9:00/16:00-20:0,0,0,OPERATIVA,27.264,27.27119856,,,,editorTroncal,2024/01/22 18:05:28+00,1,2,{30868D18-6906-44AE-A798-14EECB2FFAA3},27271.1985610893
14,2-1,2 M,2,MUSEO NACIONAL - FNG,PORTAL 20 DE JULIO,TRONCAL,Normal,BIARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,7.076,7.26857551,,,,editorTroncal,2024/12/05 17:37:27+00,1,2,{3D1BDA44-23D1-4624-9324-6DBB218E03C9},7268.57551431601
15,G45,G45,GG45,SAN MATEO - CC UNISUR,PORTAL SUR - JFK Coop. Financiera,TRONCAL,Normal,ARTICULADO,5:00-8:00/16:30-21:3,05:00 - 08:00,0,OPERATIVA,4.97,4.97626077,,,,editorTroncal,2024/01/22 18:05:30+00,1,1,{A434FD87-D7F4-4BF8-B89F-10C682EA88AE},4976.26076906095
16,J70,J70,J70,PORTAL NORTE,LAS AGUAS - CENTRO COLOMBO AMERICANO,TRONCAL,Normal,ARTICULADO,05:30 - 09:00,0,0,OPERATIVA,21.809,21.81573468,,,,editorTroncal,2024/01/22 18:05:44+00,1,1,{62510CED-F768-4A21-8B29-63A603D176BD},21815.7346804903
17,C25,C25,CL25,PORTAL 20 DE JULIO,PORTAL SUBA,TRONCAL,Normal,BIARTICULADO,04:30 - 22:00,05:00 - 20:00,04:30 - 22:00,OPERATIVA,24.99,24.99844382,,,,editorTroncal,2024/09/13 15:22:49+00,1,2,{A5453BCB-B054-4C75-8675-1B9188C422C4},24998.4438165018
18,8-2,8 T,8,TERMINAL,GUATOQUE - VERAGUAS,TRONCAL,Normal,ARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,21.153,22.09768379,,,,editorTroncal,2024/01/22 18:05:32+00,1,1,{A1CD47BF-4F93-495C-971A-BE8626C00BB3},22097.6837899911
19,G41,G41,GL41,BICENTENARIO,SAN MATEO - CC UNISUR,TRONCAL,Normal,BIARTICULADO,05:00 - 21:00,05:00 - 21:00,0,OPERATIVA,15.266,15.6052618,,,,editorTroncal,2024/01/22 18:05:33+00,1,2,{2A993049-830B-43E6-86DA-169ED1035CE3},15605.2617963442
20,2-2,2 P,2,PORTAL 20 DE JULIO,MUSEO NACIONAL - FNG,TRONCAL,Normal,BIARTICULADO,04:00 - 23:00,04:00 - 23:00,04:30 - 22:00,OPERATIVA,7.266,7.07826325,,,,editorTroncal,2024/12/05 17:37:27+00,1,2,{CCBF8EB6-9054-47BF-9266-5CEEA7667A97},7078.26324508313
21,H72,H72,BH72,TOBERIN - FOUNDEVER,PORTAL USME,TRONCAL,Normal,ARTICULADO,05:30 - 23:00,05:30 - 23:00,06:00 - 21:00,OPERATIVA,29.388,29.39629075,,,,editorTroncal,2024/01/22 18:05:35+00,1,1,{04486F01-CC6B-444D-BE06-BF8CA4B90435},29396.290746944
22,L18,L18,BL18,TERMINAL,PORTAL 20 DE JULIO,TRONCAL,Normal,BIARTICULADO,05:00 - 22:00,05:30 - 21:30,0,OPERATIVA,25.71,25.62417709,,,,editorTroncal,2024/01/22 18:05:35+00,1,2,{8003F62C-5B1A-43CC-A9AB-5B9CDD5998D3},25624.1770931061
